id,marca,modelo,matricula,categoria_tipo,categoria_precio,año,precio_diario,kilometraje,color,combustible,cv,plazas,disponible
UID1,BMW,Serie 1,8237 SPL,Familiar,Premium,2019,438,49480,Negro,Gasolina,94,2,True
UID2,McLaren,GT,9676 LRX,Superdeportivo,Lujo,2021,712,9516,Naranja,Gasolina,741,2,True
UID3,Aston Martin,Valhalla,8147 THM,Superdeportivo,Lujo,2022,767,20352,Verde,Diésel,688,2,True
UID4,Maserati,Levante,2687 BZL,SUV,Premium,2019,276,23467,Azul,Gasolina,298,3,True
UID5,Mercedes,GLE,9852 VDL,Sedán,Premium,2020,327,32371,Rojo,Gasolina,199,7,True
UID6,McLaren,Artura,6210 XFP,Superdeportivo,Lujo,2022,585,44638,Amarillo,Gasolina,567,2,True
UID7,Maserati,Quattroporte,2410 LFF,Deportivo,Premium,2021,477,22100,Plateado,Gasolina,357,7,True
UID8,Seat,Leon,3577 MEQ,Familiar,Medio,2023,111,3517,Naranja,Diésel,122,7,True
UID9,Ford,Puma,4690 HZT,Hatchback,Básico,2018,46,31104,Azul,Híbrido,163,2,True
UID10,Hyundai,Kona,4158 URC,Deportivo,Medio,2021,108,43760,Plateado,Gasolina,235,5,True
UID11,Ferrari,Portofino,3763 LZW,Superdeportivo,Lujo,2023,1437,3051,Naranja,Gasolina,882,2,True
UID12,BMW,M5,0737 IKW,Deportivo,Premium,2019,161,22939,Verde,Gasolina,494,3,True
UID13,Ferrari,F8 Tributo,7898 CZE,Superdeportivo,Lujo,2018,899,5819,Rojo,Gasolina,882,2,True
UID14,Porsche,Cayenne,5891 ZWH,Luxury,Premium,2023,497,41851,Verde,Diésel,465,4,True
UID15,Renault,Captur,9581 UBV,Hatchback,Medio,2018,148,18748,Amarillo,Gasolina,101,2,True
UID16,Hyundai,Kona,8698 BGH,Sedán,Medio,2022,77,35240,Naranja,Diésel,188,5,True
UID17,Bentley,Bentayga,4105 NJQ,Deportivo,Lujo,2019,1701,27106,Plateado,Gasolina,340,6,True
UID18,Lamborghini,Aventador,2711 CQO,Superdeportivo,Lujo,2020,677,40548,Rojo,Gasolina,749,2,True
UID19,Mercedes,AMG GT,3964 GTU,Sedán,Premium,2023,449,17881,Gris,Gasolina,158,4,True
UID20,Ferrari,SF90 Stradale,8792 ZIG,Superdeportivo,Lujo,2019,1051,36716,Naranja,Gasolina,574,2,True
UID21,Audi,R8,3540 GOB,Deportivo,Premium,2020,241,37367,Blanco,Diésel,428,2,True
UID22,Ford,Focus,8545 RHX,Deportivo,Medio,2020,123,1635,Amarillo,Gasolina,377,4,True
UID23,Peugeot,RCZ,5490 KIS,Deportivo,Básico,2022,47,6495,Gris,Eléctrico,468,2,True
UID24,Ford,Fiesta,9464 HIZ,Deportivo,Medio,2021,118,90,Rojo,Híbrido,301,4,True
UID25,BMW,X3,0088 HWT,SUV,Premium,2019,445,43131,Azul,Gasolina,199,7,True
UID26,Seat,Arona,0762 OUF,Hatchback,Medio,2022,105,48391,Azul,Diésel,147,6,True
UID27,McLaren,570S,6567 CJK,Superdeportivo,Lujo,2020,584,25515,Verde,Gasolina,818,2,True
UID28,Peugeot,208,3190 WRI,Sedán,Medio,2023,144,7437,Amarillo,Gasolina,167,5,True
UID29,Audi,A3,5768 PFY,Familiar,Premium,2021,472,42469,Naranja,Gasolina,126,7,True
UID30,Renault,Kadjar,0196 CWH,Deportivo,Medio,2019,144,16990,Azul,Híbrido,251,4,True
UID31,Audi,Q3,3998 RPJ,Deportivo,Premium,2020,357,27622,Rojo,Diésel,374,7,True
UID32,BMW,Serie 3,0831 ONI,Sedán,Premium,2023,460,34899,Gris,Gasolina,189,3,True
UID33,Mercedes,GLE,2804 TJH,SUV,Premium,2021,354,28267,Azul,Gasolina,206,3,True
UID34,Audi,A3,7758 EEG,SUV,Premium,2019,235,33097,Azul,Gasolina,331,5,True
UID35,Ford,Fiesta,5635 VSW,SUV,Medio,2021,143,45139,Plateado,Gasolina,276,7,True
UID36,Lamborghini,Aventador,1572 ROO,Superdeportivo,Lujo,2022,878,20460,Verde,Gasolina,593,2,True
UID37,Ford,Fiesta,5643 SMF,SUV,Básico,2021,51,18550,Plateado,Híbrido,246,2,True
UID38,Aston Martin,DB11,3290 TOX,Superdeportivo,Lujo,2020,1754,31485,Amarillo,Diésel,768,2,True
UID39,McLaren,GT,0004 YQB,Superdeportivo,Lujo,2023,1732,10415,Blanco,Gasolina,897,2,True
UID40,Lamborghini,Aventador,1497 SBJ,Superdeportivo,Lujo,2023,1930,32200,Verde,Diésel,537,2,True
UID41,BMW,M3,6445 XYH,Sedán,Premium,2020,311,31905,Azul,Gasolina,176,5,True
UID42,BMW,M3,7707 DSG,Familiar,Premium,2020,421,23370,Negro,Gasolina,128,4,True
UID43,Bentley,Bentayga,4195 SSY,SUV,Lujo,2023,636,37406,Blanco,Gasolina,325,5,True
UID44,Porsche,Cayenne,3971 HST,Deportivo,Premium,2020,254,17337,Plateado,Gasolina,239,3,True
UID45,Peugeot,208,1031 MPD,Deportivo,Básico,2022,49,39182,Plateado,Híbrido,462,6,True
UID46,Seat,Arona,0035 WFR,Familiar,Básico,2023,49,37977,Azul,Híbrido,96,4,True
UID47,Renault,Captur,5870 HIY,Familiar,Básico,2020,35,8320,Blanco,Gasolina,141,2,True
UID48,Aston Martin,DB11,4034 TFX,Superdeportivo,Lujo,2020,844,42252,Gris,Gasolina,689,2,True
UID49,Ferrari,Roma,1260 CJI,Superdeportivo,Lujo,2019,831,47145,Azul,Gasolina,900,2,True
UID50,Ford,Mustang,6200 GKL,Familiar,Básico,2023,53,24302,Verde,Gasolina,148,5,True
UID51,Peugeot,3008,2276 JKS,Familiar,Medio,2018,146,8880,Verde,Gasolina,93,5,True
UID52,Ford,Puma,6918 QON,Deportivo,Básico,2018,31,35578,Negro,Gasolina,325,5,True
UID53,Lamborghini,Aventador,4311 WHY,Superdeportivo,Lujo,2021,1727,14475,Amarillo,Gasolina,539,2,True
UID54,Renault,Captur,3678 CIP,Sedán,Medio,2018,109,6620,Verde,Eléctrico,206,4,True
UID55,Toyota,Yaris,0023 VQE,SUV,Básico,2020,57,20977,Negro,Diésel,286,7,True
UID56,Renault,Clio,8059 VHR,Sedán,Medio,2020,101,19874,Naranja,Diésel,190,2,True
UID57,McLaren,570S,8734 ZGX,Superdeportivo,Lujo,2019,1907,21416,Plateado,Gasolina,850,2,True
UID58,Ferrari,Portofino,6575 BFN,Superdeportivo,Lujo,2022,507,49930,Amarillo,Gasolina,953,2,True
UID59,Ford,Mustang,8042 BRE,Deportivo,Medio,2018,68,15794,Blanco,Híbrido,460,6,True
UID60,Renault,Clio,5230 XNL,Sedán,Medio,2020,75,41998,Naranja,Eléctrico,239,5,True
UID61,Renault,Zoe,1517 MLN,Hatchback,Medio,2022,116,20993,Negro,Gasolina,145,7,True
UID62,Volkswagen,Polo,5195 GDN,Sedán,Medio,2022,79,42578,Verde,Gasolina,220,2,True
UID63,Hyundai,Kona,5216 MJF,SUV,Medio,2020,121,12896,Blanco,Gasolina,349,5,True
UID64,Mercedes,Clase S,9886 QTO,Sedán,Premium,2021,164,22397,Amarillo,Gasolina,134,2,True
UID65,Bentley,Bentayga,3648 MDN,SUV,Lujo,2019,1118,28448,Negro,Gasolina,200,5,True
UID66,Rolls Royce,Phantom,4622 ZHM,Luxury,Lujo,2023,1123,12524,Verde,Diésel,428,4,True
UID67,Porsche,Cayenne,3048 FGY,Deportivo,Premium,2022,267,9363,Rojo,Gasolina,367,3,True
UID68,Maserati,Ghibli,8109 YNC,Deportivo,Premium,2020,498,31304,Gris,Gasolina,315,6,True
UID69,BMW,X1,5175 ZDP,SUV,Premium,2020,417,15655,Azul,Híbrido,359,5,True
UID70,Porsche,Cayenne,2844 JVP,Deportivo,Premium,2023,234,40096,Verde,Gasolina,278,3,True
UID71,Porsche,Panamera,9971 ZXO,SUV,Premium,2019,388,34324,Azul,Gasolina,370,5,True
UID72,Ford,Puma,1777 JIE,Deportivo,Medio,2023,65,43595,Gris,Gasolina,449,4,True
UID73,Seat,Ateca,1654 VKW,Deportivo,Medio,2022,92,35425,Negro,Diésel,432,6,True
UID74,Lamborghini,Aventador,6572 ROY,Superdeportivo,Lujo,2023,1318,27706,Verde,Gasolina,556,2,True
UID75,Lamborghini,Huracán,3814 GJQ,Superdeportivo,Lujo,2019,746,33593,Gris,Gasolina,964,2,True
UID76,Peugeot,208,8916 PDH,Sedán,Medio,2020,111,5842,Azul,Diésel,215,2,True
UID77,Peugeot,3008,2448 MJO,SUV,Medio,2019,117,38865,Negro,Gasolina,134,6,True
UID78,McLaren,570S,3712 VQR,Superdeportivo,Lujo,2020,1452,31506,Blanco,Gasolina,734,2,True
UID79,Aston Martin,DB11,6621 RRT,Superdeportivo,Lujo,2018,1984,31204,Verde,Gasolina,537,2,True
UID80,McLaren,Artura,1351 QYH,Superdeportivo,Lujo,2022,1500,16475,Azul,Gasolina,525,2,True
UID81,Lamborghini,Huracán,0117 QNI,Superdeportivo,Lujo,2021,1596,8669,Rojo,Gasolina,755,2,True
UID82,Mercedes,GLC,8415 EWZ,Deportivo,Premium,2018,450,36619,Blanco,Gasolina,237,5,True
UID83,Bentley,Bentayga,8656 ZPG,Deportivo,Lujo,2021,1445,5639,Amarillo,Gasolina,249,5,True
UID84,BMW,X3,0285 PTP,Deportivo,Premium,2020,471,42961,Azul,Diésel,337,2,True
UID85,Audi,A6,6953 IXZ,Familiar,Premium,2022,439,17099,Blanco,Híbrido,140,3,True
UID86,Mercedes,Clase S,0458 CVN,Familiar,Premium,2022,439,29269,Plateado,Diésel,120,4,True
UID87,Toyota,Corolla,8302 JPU,Familiar,Medio,2018,105,13031,Verde,Híbrido,107,3,True
UID88,Hyundai,Ioniq,7055 XXL,Hatchback,Medio,2018,94,38389,Azul,Diésel,151,5,True
UID89,McLaren,570S,3295 ZSQ,Superdeportivo,Lujo,2018,1587,19475,Rojo,Gasolina,756,2,True
UID90,Bentley,Flying Spur,2322 MBB,SUV,Lujo,2021,889,25831,Azul,Gasolina,393,4,True
